pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
CBat	dDocent_Contig_331	1	1000	0.0	91	0	299900	212
AHam	dDocent_Contig_332	1	1000	0.0	163	0	68146	1120
CBat	dDocent_Contig_332	1	1000	0.0004391255486828	163	245	557927	126
AHam	dDocent_Contig_343	1	1000	0.0020297982757177	102	97	47788	520
CBat	dDocent_Contig_343	1	1000	0.0014236694166605	102	468	328728	336
AHam	dDocent_Contig_353	1	1000	0.0	52	0	21879	338
CBat	dDocent_Contig_353	1	1000	0.0004712398261648	52	81	171887	114
AHam	dDocent_Contig_358	1	1000	0.0	83	0	39403	390
CBat	dDocent_Contig_358	1	1000	0.0	83	0	233217	714
AHam	dDocent_Contig_361	1	1000	0.0	135	0	75195	310
CBat	dDocent_Contig_361	1	1000	0.0003731131055978	135	164	439545	386
AHam	dDocent_Contig_363	1	1000	0.002008502661266	62	60	29873	278
CBat	dDocent_Contig_363	1	1000	0.0029819104039943	62	301	100942	1644
AHam	dDocent_Contig_368	1	1000	0.0	163	0	88228	468
CBat	dDocent_Contig_368	1	1000	0.0	163	0	543558	304
AHam	dDocent_Contig_369	1	1000	0.0	90	0	45471	338
CBat	dDocent_Contig_369	1	1000	0.0	90	0	286114	340
AHam	dDocent_Contig_370	1	1000	0.0019601437438745	135	120	61220	748
CBat	dDocent_Contig_370	1	1000	0.0032474690465272	135	1473	453584	212
AHam	dDocent_Contig_371	1	1000	0.0049741970807171	143	427	85843	126
CBat	dDocent_Contig_371	1	1000	0.0053052169357885	143	2542	479151	238
AHam	dDocent_Contig_376	1	1000	0.0008723581426702	277	132	151314	872
CBat	dDocent_Contig_376	1	1000	9.15650900923263e-05	277	83	906459	734
AHam	dDocent_Contig_406	1	1000	0.0	201	0	125331	38
CBat	dDocent_Contig_406	1	1000	0.0	201	0	627298	912
AHam	dDocent_Contig_736	1	1000	0.0	24	0	11134	124
CBat	dDocent_Contig_736	1	1000	0.0	24	0	57268	352
AHam	dDocent_Contig_818	1	1000	0.0	196	0	119027	130
CBat	dDocent_Contig_818	1	1000	0.0	196	0	603950	1004
AHam	dDocent_Contig_1000	1	1000	0.0091863517060367	40	224	24384	24
CBat	dDocent_Contig_1000	1	1000	0.0099669321410274	40	856	85884	720
AHam	dDocent_Contig_1006	1	1000	0.0	111	0	65159	142
CBat	dDocent_Contig_1006	1	1000	0.0006711347693778	111	219	326313	770
AHam	dDocent_Contig_1008	1	1000	0.0003378801151295	165	27	79910	752
CBat	dDocent_Contig_1008	1	1000	0.0007245087093857	165	403	556239	230
AHam	dDocent_Contig_1022	1	1000	0.0	115	0	56760	476
CBat	dDocent_Contig_1022	1	1000	0.0	115	0	322640	996
AHam	dDocent_Contig_1025	1	1000	0.0080195044160942	142	523	65216	816
CBat	dDocent_Contig_1025	1	1000	0.0064651243723381	142	3121	482744	152
AHam	dDocent_Contig_1026	1	1000	0.0	88	0	34601	662
CBat	dDocent_Contig_1026	1	1000	0.0	88	0	273217	414
AHam	dDocent_Contig_1042	1	1000	0.0	92	0	33952	768
CBat	dDocent_Contig_1042	1	1000	0.0	92	0	283018	468
AHam	dDocent_Contig_1045	1	1000	0.0038506642395813	133	220	57133	834
CBat	dDocent_Contig_1045	1	1000	0.0040300521536161	133	1768	438704	308
AHam	dDocent_Contig_1048	1	1000	0.0	25	0	1787	606
CBat	dDocent_Contig_1048	1	1000	0.0	25	0	42586	632
AHam	dDocent_Contig_1054	1	1000	0.0	43	0	22400	164
CBat	dDocent_Contig_1054	1	1000	0.0	43	0	119070	400
AHam	dDocent_Contig_1063	1	1000	0.0	147	0	81961	322
CBat	dDocent_Contig_1063	1	1000	0.0	147	0	481775	382
AHam	dDocent_Contig_1070	1	1000	0.0	148	0	85723	226
CBat	dDocent_Contig_1070	1	1000	0.0001653587388108	148	83	501939	170
AHam	dDocent_Contig_1072	1	1000	0.0012316029312149	117	60	48717	786
CBat	dDocent_Contig_1072	1	1000	0.0010622610595303	117	389	366200	516
AHam	dDocent_Contig_1077	1	1000	0.0114231856738925	65	303	26525	458
CBat	dDocent_Contig_1077	1	1000	0.0131177566959247	65	2034	155057	938
AHam	dDocent_Contig_1078	1	1000	0.0016473528743467	142	116	70416	616
CBat	dDocent_Contig_1078	1	1000	0.001679042860339	142	788	469315	322
AHam	dDocent_Contig_1079	1	1000	0.0	162	0	93248	280
CBat	dDocent_Contig_1079	1	1000	0.0019428031456992	162	1065	548177	206
AHam	dDocent_Contig_1081	1	1000	0.002517095272056	179	240	95348	532
CBat	dDocent_Contig_1081	1	1000	0.00357854355532	179	2222	620923	38
AHam	dDocent_Contig_1085	1	1000	0.0025954051715851	78	81	31209	566
CBat	dDocent_Contig_1085	1	1000	0.0024685826362264	78	584	236573	446
AHam	dDocent_Contig_1088	1	1000	0.0008117367585441	143	68	83771	190
CBat	dDocent_Contig_1088	1	1000	0.0	143	0	490807	94
AHam	dDocent_Contig_1091	1	1000	0.0015476643779249	152	126	81413	430
CBat	dDocent_Contig_1091	1	1000	0.0003150410994165	152	164	520567	114
AHam	dDocent_Contig_1106	1	1000	0.0014834381310593	187	155	104487	438
CBat	dDocent_Contig_1106	1	1000	0.0004982941212193	187	320	642191	118
AHam	dDocent_Contig_1132	1	1000	0.0	26	0	5192	408
CBat	dDocent_Contig_1132	1	1000	0.0	26	0	54580	488
AHam	dDocent_Contig_1133	1	1000	0.0	34	0	12852	272
CBat	dDocent_Contig_1133	1	1000	0.0	34	0	101796	208
AHam	dDocent_Contig_1135	1	1000	0.0007188555819135	191	60	83466	1168
CBat	dDocent_Contig_1135	1	1000	0.0008857967293175	191	563	635586	376
AHam	dDocent_Contig_1149	1	1000	0.0	137	0	86310	0
CBat	dDocent_Contig_1149	1	1000	0.0	137	0	460092	212
AHam	dDocent_Contig_1163	1	1000	0.0014887234751694	160	134	90010	348
CBat	dDocent_Contig_1163	1	1000	0.0007402554152669	160	409	552512	64
AHam	dDocent_Contig_1177	1	1000	0.0	3	0	975	30
CBat	dDocent_Contig_1177	1	1000	0.0285338015803336	3	195	6834	48
AHam	dDocent_Contig_1195	1	1000	0.0	68	0	33484	280
CBat	dDocent_Contig_1195	1	1000	0.0	68	0	209980	336
AHam	dDocent_Contig_1197	1	1000	0.0	4	0	1740	24
CBat	dDocent_Contig_1197	1	1000	0.0	4	0	12012	24
AHam	dDocent_Contig_1222	1	1000	0.001449173737232	147	124	85566	216
CBat	dDocent_Contig_1222	1	1000	0.0020175861238255	147	1005	498120	180
AHam	dDocent_Contig_1235	1	1000	0.0	75	0	47250	0
CBat	dDocent_Contig_1235	1	1000	0.0	75	0	261450	0
AHam	dDocent_Contig_1241	1	1000	0.0004911729209351	132	35	71258	404
CBat	dDocent_Contig_1241	1	1000	0.0009048072030617	132	409	452030	100
AHam	dDocent_Contig_1245	1	1000	0.0076062639821029	55	221	29055	166
CBat	dDocent_Contig_1245	1	1000	0.0116909785569945	55	1429	122231	926
AHam	dDocent_Contig_1247	1	1000	0.0021729185727355	137	171	78696	236
CBat	dDocent_Contig_1247	1	1000	0.0016560666253599	137	727	438992	484
AHam	dDocent_Contig_1250	1	1000	0.0004156537730026	149	33	79393	458
CBat	dDocent_Contig_1250	1	1000	0.0003338347809939	149	160	479279	494
AHam	dDocent_Contig_1251	1	1000	0.0	109	0	34053	1170
CBat	dDocent_Contig_1251	1	1000	0.0	109	0	377994	24
AHam	dDocent_Contig_1259	1	1000	0.0087446339746064	81	385	44027	206
CBat	dDocent_Contig_1259	1	1000	0.007576452365667	81	1487	196266	1128
AHam	dDocent_Contig_1267	1	1000	0.0	176	0	82885	966
CBat	dDocent_Contig_1267	1	1000	0.0	176	0	612546	12
AHam	dDocent_Contig_1268	1	1000	0.0	106	0	56625	302
CBat	dDocent_Contig_1268	1	1000	0.0	106	0	351518	220
AHam	dDocent_Contig_1269	1	1000	0.0007116062987323	169	70	98369	258
CBat	dDocent_Contig_1269	1	1000	0.0007130365990756	169	411	576408	156
AHam	dDocent_Contig_1272	1	1000	0.0	86	0	32521	694
CBat	dDocent_Contig_1272	1	1000	0.0	86	0	252323	594
AHam	dDocent_Contig_1277	1	1000	0.0	26	0	13647	82
CBat	dDocent_Contig_1277	1	1000	0.0	26	0	76390	180
AHam	dDocent_Contig_1279	1	1000	0.0012176682322401	148	91	74733	558
CBat	dDocent_Contig_1279	1	1000	0.0008115475034445	148	407	501511	178
AHam	dDocent_Contig_1312	1	1000	0.0023934648004578	96	138	57657	86
CBat	dDocent_Contig_1312	1	1000	0.0019455179706403	96	517	265739	874
AHam	dDocent_Contig_1313	1	1000	0.0027259893881127	88	112	41086	436
CBat	dDocent_Contig_1313	1	1000	0.0017080777845226	88	408	238865	870
AHam	dDocent_Contig_1320	1	1000	0.0043661258492114	110	250	57259	362
CBat	dDocent_Contig_1320	1	1000	0.003143046324312	110	1125	357933	318
AHam	dDocent_Contig_1321	1	1000	0.0004469788294572	152	33	73829	678
CBat	dDocent_Contig_1321	1	1000	0.0	152	0	510823	234
AHam	dDocent_Contig_1328	1	1000	0.0	26	0	12163	130
CBat	dDocent_Contig_1328	1	1000	0.0	26	0	62109	374
AHam	dDocent_Contig_1334	1	1000	0.0004132593640814	148	33	79853	398
CBat	dDocent_Contig_1334	1	1000	0.0008445147371044	148	393	465356	624
AHam	dDocent_Contig_1337	1	1000	0.0	93	0	36124	716
CBat	dDocent_Contig_1337	1	1000	0.0	93	0	286382	472
AHam	dDocent_Contig_1338	1	1000	0.0	112	0	66723	114
CBat	dDocent_Contig_1338	1	1000	0.0	112	0	384826	68
AHam	dDocent_Contig_1345	1	1000	0.0004169694659216	143	35	83939	206
CBat	dDocent_Contig_1345	1	1000	0.000839680797511	143	407	484708	172
AHam	dDocent_Contig_1349	1	1000	0.0032386710018288	159	255	78736	676
CBat	dDocent_Contig_1349	1	1000	0.0032498794063957	159	1718	528635	318
AHam	dDocent_Contig_1351	1	1000	0.0	43	0	16611	334
CBat	dDocent_Contig_1351	1	1000	0.0	43	0	96304	716
AHam	dDocent_Contig_1360	1	1000	0.0	2	0	650	20
CBat	dDocent_Contig_1360	1	1000	0.0	2	0	6320	8
AHam	dDocent_Contig_1371	1	1000	0.0	100	0	48943	434
CBat	dDocent_Contig_1371	1	1000	0.0	100	0	337746	132
AHam	dDocent_Contig_1373	1	1000	0.0	15	0	9243	6
CBat	dDocent_Contig_1373	1	1000	0.0	15	0	51960	4
AHam	dDocent_Contig_1376	1	1000	0.0	68	0	42702	4
CBat	dDocent_Contig_1376	1	1000	0.0	68	0	176506	780
AHam	dDocent_Contig_1381	1	1000	0.0044831266934887	115	273	60895	342
CBat	dDocent_Contig_1381	1	1000	0.003367367253491	115	1184	351610	616
AHam	dDocent_Contig_1384	1	1000	0.0	86	0	41253	390
CBat	dDocent_Contig_1384	1	1000	0.0	86	0	263829	446
AHam	dDocent_Contig_1387	1	1000	0.0	120	0	64527	346
CBat	dDocent_Contig_1387	1	1000	0.0	120	0	393884	304
AHam	dDocent_Contig_1390	1	1000	0.0	164	0	72836	952
CBat	dDocent_Contig_1390	1	1000	0.0	164	0	553906	220
AHam	dDocent_Contig_1402	1	1000	0.0016324880672896	105	105	64319	54
CBat	dDocent_Contig_1402	1	1000	0.003117437601832	105	1104	354137	146
AHam	dDocent_Contig_1406	1	1000	0.0	154	0	74952	712
CBat	dDocent_Contig_1406	1	1000	0.0	154	0	522701	174
AHam	dDocent_Contig_1438	1	1000	0.0049065089874034	120	312	63589	366
CBat	dDocent_Contig_1438	1	1000	0.0036111745376207	120	1455	402916	192
AHam	dDocent_Contig_1450	1	1000	0.0	26	0	7755	290
CBat	dDocent_Contig_1450	1	1000	0.0	26	0	48371	586
AHam	dDocent_Contig_1451	1	1000	0.0	59	0	16896	692
CBat	dDocent_Contig_1451	1	1000	0.0	59	0	168471	470
AHam	dDocent_Contig_1454	1	1000	0.0036604931540989	125	235	64199	486
CBat	dDocent_Contig_1454	1	1000	0.0035744796825945	125	1364	381594	672
AHam	dDocent_Contig_1464	1	1000	0.0013717072675083	103	54	39367	814
CBat	dDocent_Contig_1464	1	1000	0.001837434783708	103	654	355931	38
AHam	dDocent_Contig_1470	1	1000	0.0012221950623319	118	60	49092	800
CBat	dDocent_Contig_1470	1	1000	0.0004190076162299	118	164	391401	246
AHam	dDocent_Contig_1472	1	1000	0.0032392583215429	105	174	53716	372
CBat	dDocent_Contig_1472	1	1000	0.0037227891206003	105	1278	343291	278
AHam	dDocent_Contig_1488	1	1000	0.0026645995833535	97	110	41282	624
CBat	dDocent_Contig_1488	1	1000	0.0017550565376652	97	551	313950	296
AHam	dDocent_Contig_1514	1	1000	0.0011002168074296	110	68	61806	228
CBat	dDocent_Contig_1514	1	1000	0.0020893524639668	110	768	367578	196
AHam	dDocent_Contig_1517	1	1000	0.0003912363067292	149	35	89460	132
CBat	dDocent_Contig_1517	1	1000	0.0003467752073065	149	160	461394	720
AHam	dDocent_Contig_1537	1	1000	0.0011336699989693	145	99	87327	118
CBat	dDocent_Contig_1537	1	1000	0.0011806789232383	145	539	456517	618
AHam	dDocent_Contig_1539	1	1000	0.0	45	0	20856	228
CBat	dDocent_Contig_1539	1	1000	0.0	45	0	133758	288
AHam	dDocent_Contig_1543	1	1000	0.0	264	0	150026	516
CBat	dDocent_Contig_1543	1	1000	0.0	264	0	828722	1172
AHam	dDocent_Contig_1555	1	1000	0.0	18	0	10098	36
CBat	dDocent_Contig_1555	1	1000	0.0	18	0	33554	404
AHam	dDocent_Contig_1557	1	1000	0.0	53	0	15951	582
CBat	dDocent_Contig_1557	1	1000	0.000474505576905	53	81	170704	172
AHam	dDocent_Contig_1563	1	1000	0.0066594522600516	74	160	24026	748
CBat	dDocent_Contig_1563	1	1000	0.0067072268576014	74	1496	223043	434
AHam	dDocent_Contig_1564	1	1000	0.0	34	0	13194	260
CBat	dDocent_Contig_1564	1	1000	0.0	34	0	91258	348
AHam	dDocent_Contig_1580	1	1000	0.0092766597191375	100	543	58534	140
CBat	dDocent_Contig_1580	1	1000	0.0083696454508655	100	2812	335976	160
AHam	dDocent_Contig_1612	1	1000	0.0067742967888766	127	381	56242	744
CBat	dDocent_Contig_1612	1	1000	0.0064718260004752	127	2642	408231	430
AHam	dDocent_Contig_1619	1	1000	0.0015477621180669	117	85	54918	576
CBat	dDocent_Contig_1619	1	1000	0.0030898761597253	117	1134	367005	514
AHam	dDocent_Contig_1623	1	1000	0.0	121	0	71317	146
CBat	dDocent_Contig_1623	1	1000	0.0	121	0	411322	128
AHam	dDocent_Contig_1624	1	1000	0.0	80	0	50400	0
CBat	dDocent_Contig_1624	1	1000	0.0	80	0	277564	16
AHam	dDocent_Contig_1625	1	1000	0.0	56	0	35280	0
CBat	dDocent_Contig_1625	1	1000	0.0	56	0	183927	138
AHam	dDocent_Contig_1627	1	1000	0.0	74	0	46620	0
CBat	dDocent_Contig_1627	1	1000	0.0	74	0	252519	66
AHam	dDocent_Contig_1628	1	1000	0.0	113	0	70362	24
CBat	dDocent_Contig_1628	1	1000	0.0	113	0	393918	0
AHam	dDocent_Contig_1629	1	1000	0.0	46	0	28980	0
CBat	dDocent_Contig_1629	1	1000	0.0	46	0	153591	82
AHam	dDocent_Contig_1636	1	1000	0.002977503308337	100	135	45340	544
CBat	dDocent_Contig_1636	1	1000	0.0002483214117556	100	77	310082	476
AHam	dDocent_Contig_1639	1	1000	0.0	112	0	70288	8
CBat	dDocent_Contig_1639	1	1000	0.0	112	0	383184	88
AHam	dDocent_Contig_1644	1	1000	0.0023812790310252	179	243	102046	320
CBat	dDocent_Contig_1644	1	1000	0.0019360331746786	179	1071	553193	890
AHam	dDocent_Contig_1645	1	1000	0.0	63	0	39690	0
CBat	dDocent_Contig_1645	1	1000	0.0	63	0	208901	130
AHam	dDocent_Contig_1646	1	1000	0.0	67	0	42210	0
CBat	dDocent_Contig_1646	1	1000	0.0	67	0	218973	178
AHam	dDocent_Contig_1649	1	1000	0.0	78	0	49071	2
CBat	dDocent_Contig_1649	1	1000	0.0	78	0	259038	156
AHam	dDocent_Contig_1651	1	1000	0.0	146	0	91014	28
CBat	dDocent_Contig_1651	1	1000	0.0	146	0	508956	0
AHam	dDocent_Contig_1654	1	1000	0.000438702008123	151	31	70663	766
CBat	dDocent_Contig_1654	1	1000	0.0011036029046673	151	569	515584	132
AHam	dDocent_Contig_1657	1	1000	0.0	3	0	1683	6
CBat	dDocent_Contig_1657	1	1000	0.0	3	0	9963	6
AHam	dDocent_Contig_1660	1	1000	0.0	58	0	32538	116
CBat	dDocent_Contig_1660	1	1000	0.0	58	0	202188	0
AHam	dDocent_Contig_1661	1	1000	0.0	70	0	44100	0
CBat	dDocent_Contig_1661	1	1000	0.0	70	0	244020	0
AHam	dDocent_Contig_1663	1	1000	0.0	95	0	59850	0
CBat	dDocent_Contig_1663	1	1000	0.0	95	0	331170	0
AHam	dDocent_Contig_1668	1	1000	0.0	11	0	4052	92
CBat	dDocent_Contig_1668	1	1000	0.0	11	0	11825	410
AHam	dDocent_Contig_1687	1	1000	0.0006078550559814	126	31	50999	906
CBat	dDocent_Contig_1687	1	1000	0.0002027991415692	126	79	389548	616
AHam	dDocent_Contig_1689	1	1000	0.0	120	0	75600	0
CBat	dDocent_Contig_1689	1	1000	0.0	120	0	418320	0
AHam	dDocent_Contig_1690	1	1000	0.001037930244982	123	68	65515	382
CBat	dDocent_Contig_1690	1	1000	0.0015805982784691	123	646	408706	248
AHam	dDocent_Contig_1698	1	1000	0.0024011821204285	60	52	21656	520
CBat	dDocent_Contig_1698	1	1000	0.0033387183629509	60	558	167130	532
AHam	dDocent_Contig_1702	1	1000	0.0	55	0	26609	242
CBat	dDocent_Contig_1702	1	1000	0.0	55	0	134815	742
AHam	dDocent_Contig_1717	1	1000	0.0	6	0	3366	12
CBat	dDocent_Contig_1717	1	1000	0.0	6	0	18960	24
AHam	dDocent_Contig_1724	1	1000	0.0064607373597762	110	402	62222	212
CBat	dDocent_Contig_1724	1	1000	0.009860579253005	110	3520	356977	326
AHam	dDocent_Contig_1731	1	1000	0.002901143843057	142	227	78245	342
CBat	dDocent_Contig_1731	1	1000	0.0003537952180863	142	162	457892	456
AHam	dDocent_Contig_1739	1	1000	0.0018319811567652	155	161	87883	310
CBat	dDocent_Contig_1739	1	1000	0.0044984050764463	155	2372	527298	160
AHam	dDocent_Contig_1741	1	1000	0.0010952538997676	111	66	60260	284
CBat	dDocent_Contig_1741	1	1000	0.0006626960825434	111	237	357630	360
AHam	dDocent_Contig_1742	1	1000	0.0	141	0	79089	298
CBat	dDocent_Contig_1742	1	1000	0.0003515405815292	141	156	443761	594
AHam	dDocent_Contig_1743	1	1000	0.0	69	0	43470	0
CBat	dDocent_Contig_1743	1	1000	0.0	69	0	229149	138
